p hbefore scorrect swrong sexpected hcorrect hwrong hexpected
0.849554 5.49802 0.172727 4.73266 0.687253 1.77605 14 3.15535
0.85206 5.42926 0.169675 4.75689 0.678657 1.74883 14 3.10818
0.854566 5.36008 0.166628 4.78154 0.67001 1.72161 14 3.06091
0.857071 5.29049 0.163588 4.80661 0.661311 1.69438 14 3.01352
0.859577 5.22047 0.160554 4.83213 0.652558 1.66715 14 2.96603
0.862083 5.15001 0.157527 4.85811 0.643752 1.63991 14 2.91843
0.864589 5.07912 0.154506 4.88456 0.63489 1.61267 14 2.87072
0.867094 5.00778 0.151491 4.91151 0.625973 1.58541 14 2.8229
0.8696 4.93599 0.148483 4.93896 0.616998 1.55814 14 2.77497
0.872106 4.86373 0.145481 4.96696 0.607966 1.53085 14 2.72692
0.874612 4.791 0.142485 4.9955 0.598875 1.50355 14 2.67875
0.877118 4.7178 0.139495 5.02463 0.589725 1.47624 14 2.63047
0.879623 4.64411 0.136512 5.05435 0.580513 1.4489 14 2.58206
0.882129 4.56992 0.133534 5.0847 0.57124 1.42154 14 2.53353
0.884635 4.49522 0.130563 5.1157 0.561903 1.39416 14 2.48488
0.887141 4.42001 0.127598 5.14738 0.552502 1.36675 14 2.4361
0.889646 4.34428 0.124639 5.17977 0.543035 1.33931 14 2.38719
0.892152 4.268 0.121686 5.21291 0.5335 1.31185 14 2.33815
0.894658 4.19118 0.118739 5.24682 0.523898 1.28435 14 2.28898
0.897164 4.1138 0.115798 5.28156 0.514225 1.25681 14 2.23967
0.899669 4.03585 0.112863 5.31714 0.504481 1.22924 14 2.19023
0.902175 3.9573 0.109934 5.35363 0.494663 1.20162 14 2.14064
0.904681 3.87816 0.107011 5.39107 0.484771 1.17397 14 2.0909
0.907187 3.79841 0.104094 5.4295 0.474801 1.14626 14 2.04102
0.909692 3.71803 0.101183 5.46899 0.464753 1.11851 14 1.99099
0.912198 3.637 0.0982775 5.50958 0.454625 1.0907 14 1.94081
0.914704 3.5553 0.0953779 5.55136 0.444413 1.06284 14 1.89046
0.91721 3.47293 0.0924842 5.59437 0.434116 1.03491 14 1.83996
0.919716 3.38986 0.0895962 5.63871 0.423732 1.00692 14 1.78929
0.922221 3.30606 0.0867141 5.68446 0.413258 0.978858 14 1.73845
0.924727 3.22153 0.0838376 5.7317 0.402691 0.950724 14 1.68743
0.927233 3.13623 0.0809669 5.78055 0.392028 0.922512 14 1.63623
0.929739 3.05014 0.0781019 5.8311 0.381267 0.894215 14 1.58485
0.932244 2.96323 0.0752426 5.88349 0.370403 0.865829 14 1.53328
